,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
98,Wake Up,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,225800,6,0.523,3.51e-05,0.523,0.823,0.715,0.72,-4.386,0.0383,134.956,4
99,Sun,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,187720,20,0.647,0.011,0.647,0.534,0.000249,0.104,-5.439,0.0279,96.98,4
100,Someday,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,223120,8,0.484,1e-05,0.484,0.923,0.644,0.192,-4.578,0.0352,144.01,4
101,Sleep Alone,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,236440,17,0.521,0.000111,0.521,0.759,0.00292,0.0931,-5.008,0.0419,148.044,4
102,The World Is Watching (with Valentina),Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,216400,10,0.592,9.74e-05,0.592,0.685,0.777,0.152,-7.39,0.0279,124.001,4
103,Settle,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,232341,10,0.484,0.00592,0.484,0.767,0.0428,0.0829,-5.681,0.0363,131.789,3
104,Spring,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,204308,5,0.644,0.00952,0.644,0.757,0.118,0.115,-6.291,0.0351,125.947,4
105,Pyramid,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,189600,4,0.612,0.000694,0.612,0.744,0.053,0.0917,-6.573,0.0358,141.289,4
106,Beacon,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,204610,7,0.735,0.0119,0.735,0.541,0.0661,0.0514,-5.989,0.0437,122.017,4
107,Cigarettes In The Theatre - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,305826,3,0.244,0.00024,0.244,0.913,0.324,0.899,-5.658,0.101,168.941,4
