,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
92,Sometimes in the Fall - Live,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,368840,22,0.25,0.00156,0.25,0.94,0.00154,0.935,-4.844,0.14,152.637,4
93,Second to None - Live,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,389106,21,0.262,0.00524,0.262,0.921,0.101,0.779,-4.829,0.078,157.616,4
94,Everything Is Everything,Alphabetical,Phoenix,2004-03-22,178613,50,0.699,0.0298,0.699,0.814,0.0172,0.104,-7.628,0.0339,109.071,4
95,Run Run Run,Alphabetical,Phoenix,2004-03-22,230453,43,0.632,0.032,0.632,0.819,0.0094,0.0473,-5.912,0.156,176.01,4
96,I'm an Actor,Alphabetical,Phoenix,2004-03-22,154240,26,0.67,0.0164,0.67,0.669,0.17,0.0431,-4.428,0.0686,143.895,4
97,Love for Granted,Alphabetical,Phoenix,2004-03-22,264866,36,0.694,0.0526,0.694,0.476,0.581,0.0754,-7.595,0.0285,131.976,4
98,Victim of the Crime,Alphabetical,Phoenix,2004-03-22,245800,35,0.863,0.00136,0.863,0.595,0.229,0.109,-5.591,0.0333,97.688,4
99,(You Can't Blame It On) Anybody,Alphabetical,Phoenix,2004-03-22,213800,36,0.856,0.0958,0.856,0.76,1.19e-06,0.128,-4.974,0.0423,99.251,4
100,Congratulations,Alphabetical,Phoenix,2004-03-22,72640,29,0.949,0.0102,0.949,0.621,0.0114,0.358,-6.525,0.181,99.273,4
101,If It's Not With You,Alphabetical,Phoenix,2004-03-22,237440,30,0.91,0.336,0.91,0.395,0.000412,0.0989,-7.188,0.0737,132.696,4
102,Holdin' on Together,Alphabetical,Phoenix,2004-03-22,207106,39,0.81,0.166,0.81,0.589,0.0,0.114,-7.98,0.0961,101.973,4
103,Alphabetical,Alphabetical,Phoenix,2004-03-22,204916,32,0.749,0.137,0.749,0.443,0.0133,0.282,-8.798,0.0333,143.925,4
104,Congratulations - Revisited,Alphabetical,Phoenix,2004-03-22,67758,24,0.712,0.289,0.712,0.898,0.952,0.0747,-7.942,0.0588,173.22,4
105,School's Rules,United,Phoenix,2000-03-06,92333,30,0.525,0.00474,0.525,0.379,0.928,0.226,-9.119,0.0512,120.404,4
106,Too Young,United,Phoenix,2000-03-06,197973,57,0.622,0.0625,0.622,0.75,0.000133,0.127,-6.367,0.0445,141.324,4
107,Honeymoon,United,Phoenix,2000-03-06,300533,37,0.56,0.049,0.56,0.528,0.417,0.0869,-9.323,0.0304,148.444,4
108,If I Ever Feel Better,United,Phoenix,2000-03-06,266600,66,0.755,0.0492,0.755,0.553,0.00607,0.0646,-9.449,0.107,119.7,4
109,Party Time,United,Phoenix,2000-03-06,133933,29,0.19,0.000128,0.19,0.762,0.834,0.163,-8.157,0.039,161.327,4
110,On Fire,United,Phoenix,2000-03-06,169800,36,0.459,0.0212,0.459,0.749,0.00172,0.263,-7.439,0.0781,175.766,4
111,Embuscade,United,Phoenix,2000-03-06,236666,35,0.436,0.0252,0.436,0.573,0.84,0.0635,-7.52,0.0279,135.645,4
112,Summer Days,United,Phoenix,2000-03-06,195866,37,0.367,0.0588,0.367,0.447,1.18e-05,0.106,-7.622,0.0283,143.343,3
113,"Funky Squaredance, Pt. 1/2/3 (Medley)",United,Phoenix,2000-03-06,579066,29,0.643,0.0158,0.643,0.55,0.00378,0.169,-8.284,0.0532,113.941,4
114,Definitive Breaks,United,Phoenix,2000-03-06,100466,29,0.696,0.4,0.696,0.466,0.707,0.113,-9.928,0.0356,98.004,4
115,"Identical - From The Motion Picture ""On The Rocks""","Identical (From The Motion Picture ""On The Rocks"")",Phoenix,2020-08-19,193263,61,0.627,0.000237,0.627,0.761,0.839,0.135,-8.57,0.036,128.005,4
116,Fior Di Latte - A. G. Cook Remix,Fior Di Latte (A. G. Cook Remix),Phoenix,2018-02-27,320149,13,0.65,0.0707,0.65,0.585,0.000109,0.0953,-6.913,0.0774,130.025,4
117,J-Boy - Recorded at Spotify Studios NYC,Spotify Singles,Phoenix,2017-08-02,230575,24,0.492,0.0913,0.492,0.829,0.00801,0.133,-9.551,0.0558,195.987,4
118,Un Peu Menteur - Recorded at Spotify Studios NYC,Spotify Singles,Phoenix,2017-08-02,201652,16,0.495,0.00455,0.495,0.441,0.0193,0.0649,-9.749,0.0323,119.883,4
119,Goodbye Soleil,Goodbye Soleil,Phoenix,2017-06-02,235773,23,0.608,0.022,0.608,0.781,7.43e-06,0.0908,-8.956,0.0505,93.005,4
120,J-Boy,J-Boy,Phoenix,2017-04-27,248213,30,0.518,0.034,0.518,0.909,0.00938,0.141,-6.76,0.0475,97.996,4
121,Pembunuh Cinta,Pembunuh Cinta,Phoenix,2016-01-21,228466,4,0.572,0.2,0.572,0.481,1.38e-05,0.44,-6.212,0.0272,135.874,4
122,Alone on Christmas Day,Alone on Christmas Day,Phoenix,2015-12-04,174973,26,0.384,0.486,0.384,0.733,0.000397,0.137,-5.089,0.0387,117.82,4
123,Entertainment - C. Bear of Grizzly Bear Remix,Entertainment (C. Bear of Grizzly Bear Remix),Phoenix,2014-03-03,267613,7,0.633,0.000282,0.633,0.947,0.767,0.179,-4.661,0.0843,160.06,4
124,Entertainment (Noir & Blanc),Entertainment (Noir & Blanc),Phoenix,2014-03-03,188986,9,0.389,0.554,0.389,0.521,0.000201,0.144,-5.625,0.0283,139.814,3
125,Entertainment - Todd Edwards Remix,Entertainment (Todd Edwards Remix),Phoenix,2014-03-03,344040,6,0.839,0.000691,0.839,0.509,0.603,0.123,-8.901,0.056,123.997,4
126,Entertainment - Stripped Down Version,Spotify Sessions,Phoenix,2014-03-03,193933,13,0.368,0.124,0.368,0.688,0.0493,0.177,-9.101,0.0754,146.607,4
127,The Real Thing - Stripped Down Version,Spotify Sessions,Phoenix,2014-03-03,213680,8,0.45,0.0838,0.45,0.572,0.000299,0.186,-7.663,0.0383,115.932,4
128,Trying to Be Cool - Stripped Down Version,Spotify Sessions,Phoenix,2014-03-03,218120,28,0.653,0.0366,0.653,0.562,0.000331,0.0719,-11.973,0.0414,110.52,4
129,Trying To Be Cool,Trying To Be Cool,Phoenix,2013-07-04,213266,21,0.377,0.0134,0.377,0.843,0.00043,0.579,-3.266,0.0378,115.341,4
130,Chloroform,Chloroform,Phoenix,2013-03-25,244813,4,0.33,0.00242,0.33,0.733,0.0103,0.0812,-7.164,0.0346,137.589,4
131,Entertainment,Entertainment,Phoenix,2013-02-19,220240,22,0.392,0.00151,0.392,0.723,0.0254,0.332,-3.973,0.0475,75.305,4
132,Lisztomania - Holy Ghost! Loves Paris Remixomania,Kitsuné: Lisztomania Remixes - EP,Phoenix,2009-06-15,359853,16,0.678,0.0671,0.678,0.94,0.269,0.178,-4.7,0.0623,110.007,4
133,Lisztomania - Classixx Version,Kitsuné: Lisztomania Remixes - EP,Phoenix,2009-06-15,304413,38,0.693,0.064,0.693,0.734,0.00872,0.0507,-7.766,0.0641,107.998,4
134,Lisztomania - Der Die Das Remix,Kitsuné: Lisztomania Remixes - EP,Phoenix,2009-06-15,270720,9,0.744,0.0653,0.744,0.627,0.808,0.0484,-8.391,0.0595,124.958,4
135,Fences - Friendly Fires Remix - Radio Edit,Fences,Phoenix,2009-01-01,312333,0,0.78,0.0569,0.78,0.744,0.000425,0.0709,-5.924,0.0928,112.999,4
136,Fences,Fences,Phoenix,2009-01-01,224573,0,0.591,0.0639,0.591,0.74,0.000951,0.371,-6.8,0.0285,113.0,4
